transaction_id	date	merchant	mcc_code	amount_usd	co2e_kg
bdd640fb	28/12/25	Walmart	5411	236.7	4.73
1a3d1fa7	09/01/26	Lyft	4121	62.9	5.03
972a8469	01/01/26	Tesco	5411	416.16	8.32
3b8faa18	04/01/26	Uber	4121	262.31	20.98
b74d0fb1	08/01/26	Whole Foods	5411	96.49	1.93
72ff5d2a	06/01/26	Public Transit	4121	184.64	14.77
c241330b	13/01/26	United	4511	325.86	48.88
47229389	24/12/25	Tesco	5411	8.41	0.17
1a2a73ed	22/12/25	Walmart	5411	311.34	6.23
580d7b71	07/01/26	Emirates	4511	109.67	16.45
759cde66	05/01/26	Public Transit	4121	172.77	13.82
142c3fe8	05/01/26	Delta	4511	164.98	24.75
e2acf72f	14/01/26	Uber	4121	64.77	5.18
11ce5dd2	21/12/25	Walmart	5411	132.29	2.65
fc377a4c	22/12/25	Uber	4121	382.88	30.63
614ff3d7	28/12/25	Uber	4121	344.84	27.59
29a3b2e9	31/12/25	Delta	4511	238.47	35.77
b3aa7efe	17/01/26	Emirates	4511	398.57	59.79
a28defe3	25/12/25	Walmart	5411	144.06	2.88
7656af72	31/12/25	Lyft	4121	131.21	10.5
b02b61c4	05/01/26	Walmart	5411	157.9	3.16
c4b032cc	12/01/26	Uber	4121	230.58	18.45
ce177b4e	29/12/25	Public Transit	4121	418.89	33.51
e9c349e0	17/01/26	Whole Foods	5411	197.16	3.94
366eb16f	08/01/26	McDonalds	5812	50.53	2.53
a491f0b2	02/01/26	Delta	4511	452.63	67.89
beb79919	05/01/26	Local Cafe	5812	232.71	11.64
6dadd6c7	15/01/26	Whole Foods	5411	241.88	4.84
ff50bde4	18/01/26	Emirates	4511	281.37	42.21
c17af08a	21/12/25	Whole Foods	5411	319.51	6.39
28f49481	12/01/26	Uber	4121	98.44	7.88
62801c45	31/12/25	Walmart	5411	206.13	4.12
405cacec	18/01/26	Lyft	4121	233.79	18.7
ae270da7	10/01/26	Tesco	5411	62.71	1.25
c0398710	28/12/25	Tesco	5411	231.77	4.64
4b22d308	02/01/26	Tesco	5411	485.31	9.71
b8db0672	15/01/26	Lyft	4121	29.99	2.4
c30ff46e	25/12/25	Local Cafe	5812	253.91	12.7
a013ac6e	28/12/25	Emirates	4511	368.1	55.22
32ebd689	24/12/25	Public Transit	4121	440.96	35.28
f4188f3f	12/01/26	Lyft	4121	71.75	5.74
99546eb4	29/12/25	Uber	4121	496.84	39.75
5cec4eb5	15/01/26	Public Transit	4121	35.96	2.88
3d4cbf37	21/12/25	Local Cafe	5812	462.89	23.14
14296c07	22/12/25	Walmart	5411	68.5	1.37
fa5d3100	11/01/26	Tesco	5411	329.65	6.59
a8e56e0c	03/01/26	Local Cafe	5812	466.45	23.32
8715a103	15/01/26	Whole Foods	5411	26.37	0.53
edcd465e	05/01/26	Delta	4511	37.6	5.64
b683d2e6	29/12/25	Public Transit	4121	175.31	14.02
5f987c71	02/01/26	Uber	4121	418.56	33.48
3f76be1d	26/12/25	Walmart	5411	198.56	3.97
8dcdcd03	26/12/25	Emirates	4511	75.17	11.28
b535106e	07/01/26	Tesco	5411	456.72	9.13
080aadfb	14/01/26	Walmart	5411	80.63	1.61
474a493b	09/01/26	Whole Foods	5411	157.3	3.15
b92da22b	17/01/26	Starbucks	5812	388.21	19.41
3e351128	12/01/26	Emirates	4511	20.48	3.07
1825bc54	22/12/25	Public Transit	4121	166.26	13.3
693dffbc	03/01/26	Public Transit	4121	228.54	18.28
a748dbcf	18/01/26	Public Transit	4121	74.82	5.99
ba6c34ab	30/12/25	United	4511	423.08	63.46
310c0c00	25/12/25	Emirates	4511	159.01	23.85
2ef91276	28/12/25	Uber	4121	364.55	29.16
134c6c92	02/01/26	United	4511	175.57	26.34
19108be5	21/12/25	Tesco	5411	17.86	0.36
03c72ba8	18/01/26	Uber	4121	27.18	2.17
3c835dc0	24/12/25	Local Cafe	5812	341.78	17.09
dd59ba71	01/01/26	United	4511	444.3	66.64
008d4127	18/01/26	United	4511	96.97	14.55
c8fe3ccd	02/01/26	Public Transit	4121	299.22	23.94
bb026576	18/01/26	Tesco	5411	343.95	6.88
7c967f79	24/12/25	Delta	4511	496.65	74.5
0ef8c2d6	06/01/26	Lyft	4121	437.98	35.04
504867ba	21/12/25	Lyft	4121	284.16	22.73
eb5cf467	14/01/26	Emirates	4511	373.24	55.99
82010c62	22/12/25	Starbucks	5812	228.16	11.41
1.17E+213	09/01/26	Lyft	4121	190.95	15.28
f10c718b	15/01/26	Walmart	5411	87.43	1.75
0a2c827e	07/01/26	Lyft	4121	466.94	37.36
90b2b633	04/01/26	Whole Foods	5411	418.51	8.37
ab73295b	10/01/26	Starbucks	5812	174.13	8.71
21813d25	09/01/26	McDonalds	5812	220.04	11
edd4253b	11/01/26	United	4511	125.46	18.82
9f044aed	18/01/26	Uber	4121	347.53	27.8
89a2688b	26/12/25	McDonalds	5812	498.01	24.9
5958a499	15/01/26	Public Transit	4121	368.9	29.51
48f4ef12	24/12/25	Tesco	5411	19.59	0.39
4d71c366	07/01/26	Lyft	4121	181.52	14.52
8768a84f	20/12/25	Walmart	5411	140.12	2.8
ee87905e	08/01/26	United	4511	193.55	29.03
43b409ef	23/12/25	Local Cafe	5812	486.76	24.34
27cb6f2a	28/12/25	Emirates	4511	206.76	31.01
57c700aa	26/12/25	United	4511	174.96	26.24
81627cf1	03/01/26	Uber	4121	470.66	37.65
0d01280f	22/12/25	Whole Foods	5411	97.54	1.95
0b49452d	20/12/25	Lyft	4121	283.53	22.68
fad409e2	27/12/25	Uber	4121	113.29	9.06
b4a69f3c	01/01/26	Starbucks	5812	41.83	2.09
f1eedba3	15/01/26	Uber	4121	189.43	15.15
